shunt_voltage,bus_voltage_V,current_mA,power_mW,State,Attack
476,5.201,543,2460,idle,Backdoor
662,5.177,549,2860,charging,Backdoor
511,5.189,743,3940,charging,Backdoor
485,5.197,485,2520,idle,Backdoor
477,5.201,477,2500,idle,Backdoor
620,5.185,617,3400,idle,Backdoor
591,5.189,600,4520,charging,Backdoor
480,5.201,478,2620,idle,Backdoor
762,5.185,738,2860,charging,Backdoor
667,5.181,793,3800,charging,Backdoor
477,5.201,503,2620,idle,Backdoor
481,5.201,523,2560,idle,Backdoor
564,5.189,526,2720,charging,Backdoor
566,5.185,634,3280,charging,Backdoor
551,5.193,628,3400,charging,Backdoor
767,5.181,782,4260,charging,Backdoor
609,5.189,548,2860,charging,Backdoor
611,5.189,909,4720,charging,Backdoor
621,5.185,630,3280,idle,Backdoor
579,5.197,484,2520,idle,Backdoor
589,5.197,544,2660,charging,Backdoor
798,5.177,650,3380,charging,Backdoor
771,5.177,770,4120,charging,Backdoor
888,5.181,852,4040,charging,Backdoor
571,5.197,478,2420,idle,Backdoor
660,5.169,818,4060,charging,Backdoor
927,5.185,694,3580,charging,Backdoor
484,5.197,487,2500,idle,Backdoor
665,5.173,568,2940,idle,Backdoor
919,5.173,965,5020,charging,Backdoor
578,5.197,708,3680,charging,Backdoor
669,5.189,795,3940,charging,Backdoor
828,5.173,653,3380,charging,Backdoor
632,5.189,585,3040,idle,Backdoor
517,5.197,498,2920,idle,Backdoor
510,5.201,481,2500,idle,Backdoor
585,5.181,547,2860,charging,Backdoor
739,5.177,553,3020,charging,Backdoor
473,5.197,481,2500,idle,Backdoor
836,5.185,680,3440,charging,Backdoor
650,5.177,562,2920,charging,Backdoor
549,5.201,645,3340,charging,Backdoor
861,5.169,655,4000,charging,Backdoor
793,5.177,718,3760,charging,Backdoor
475,5.197,479,2500,idle,Backdoor
1011,5.177,738,3840,charging,Backdoor
649,5.177,585,2860,charging,Backdoor
519,5.185,637,3040,charging,Backdoor
529,5.193,481,2520,idle,Backdoor
518,5.185,749,4780,charging,Backdoor
839,5.165,755,3700,charging,Backdoor
547,5.193,729,3400,charging,Backdoor
477,5.201,477,2460,idle,Backdoor
900,5.165,731,4060,charging,Backdoor
478,5.201,478,2500,idle,Backdoor
796,5.177,780,3760,charging,Backdoor
530,5.193,693,3300,charging,Backdoor
471,5.201,473,2460,idle,Backdoor
480,5.197,477,2500,idle,Backdoor
751,5.181,921,3280,charging,Backdoor
527,5.197,575,3280,idle,Backdoor
659,5.181,660,3900,charging,Backdoor
475,5.201,481,2500,idle,Backdoor
654,5.181,954,4420,charging,Backdoor
608,5.193,649,2860,charging,Backdoor
673,5.173,692,2680,idle,Backdoor
778,5.173,691,3400,charging,Backdoor
544,5.189,636,3640,charging,Backdoor
831,5.181,618,3220,charging,Backdoor
561,5.193,711,3540,charging,Backdoor
531,5.197,577,3220,charging,Backdoor
602,5.185,662,3540,charging,Backdoor
776,5.173,727,3400,charging,Backdoor
509,5.197,482,2500,idle,Backdoor
587,5.189,719,2860,charging,Backdoor
478,5.197,481,2680,idle,Backdoor
510,5.193,539,2520,idle,Backdoor
874,5.189,543,2620,charging,Backdoor
554,5.193,523,2940,charging,Backdoor
652,5.185,641,2860,charging,Backdoor
591,5.193,513,2760,charging,Backdoor
546,5.193,562,3020,idle,Backdoor
1031,5.157,972,5240,charging,Backdoor
493,5.197,497,2580,idle,Backdoor
615,5.185,543,2820,charging,Backdoor
767,5.177,648,4040,charging,Backdoor
657,5.177,740,3860,charging,Backdoor
655,5.185,825,4360,charging,Backdoor
857,5.165,919,4660,charging,Backdoor
602,5.185,747,4360,charging,Backdoor
624,5.185,621,3220,idle,Backdoor
546,5.185,622,3400,charging,Backdoor
508,5.189,676,3500,charging,Backdoor
588,5.189,655,2820,charging,Backdoor
610,5.193,679,3240,charging,Backdoor
477,5.197,473,2460,idle,Backdoor
820,5.181,657,2860,charging,Backdoor
862,5.165,884,4720,charging,Backdoor
635,5.189,554,2680,charging,Backdoor
514,5.193,571,3380,charging,Backdoor
474,5.201,474,2500,idle,Backdoor
874,5.165,769,4000,charging,Backdoor
612,5.185,700,3960,charging,Backdoor
601,5.189,533,3040,charging,Backdoor
549,5.197,602,2980,charging,Backdoor
654,5.185,649,4000,charging,Backdoor
638,5.177,549,2860,charging,Backdoor
656,5.185,760,3900,charging,Backdoor
662,5.189,708,3680,charging,Backdoor
596,5.189,741,3480,charging,Backdoor
660,5.177,644,3340,charging,Backdoor
558,5.189,662,3800,charging,Backdoor
480,5.197,476,2460,idle,Backdoor
609,5.189,835,3440,charging,Backdoor
940,5.177,958,4940,charging,Backdoor
658,5.185,656,4840,charging,Backdoor
500,5.201,471,2460,idle,Backdoor
468,5.201,470,2460,idle,Backdoor
478,5.197,480,2500,idle,Backdoor
536,5.193,591,2860,charging,Backdoor
625,5.189,623,3220,idle,Backdoor
969,5.161,888,4780,charging,Backdoor
550,5.193,519,3040,charging,Backdoor
619,5.185,619,3220,idle,Backdoor
599,5.189,659,3400,charging,Backdoor
499,5.201,471,2460,idle,Backdoor
476,5.197,474,2460,idle,Backdoor
788,5.173,764,3940,charging,Backdoor
509,5.185,621,3860,charging,Backdoor
714,5.189,772,3960,charging,Backdoor
478,5.197,517,2680,idle,Backdoor
555,5.197,644,2860,charging,Backdoor
663,5.169,780,4000,charging,Backdoor
543,5.193,613,3280,charging,Backdoor
824,5.169,656,3640,charging,Backdoor
663,5.189,543,2860,charging,Backdoor
523,5.201,505,2940,idle,Backdoor
780,5.181,958,5020,charging,Backdoor
789,5.177,651,3380,charging,Backdoor
756,5.169,663,3760,charging,Backdoor
917,5.161,653,2860,charging,Backdoor
603,5.189,653,3400,charging,Backdoor
515,5.197,502,2580,charging,Backdoor
819,5.181,646,3380,charging,Backdoor
857,5.181,651,3380,charging,Backdoor
684,5.185,708,3500,charging,Backdoor
536,5.193,657,3340,idle,Backdoor
534,5.197,565,3300,charging,Backdoor
580,5.197,549,2860,idle,Backdoor
506,5.185,632,4620,charging,Backdoor
532,5.201,499,2620,charging,Backdoor
564,5.193,541,2820,idle,Backdoor
775,5.181,654,3380,charging,Backdoor
763,5.177,555,2980,charging,Backdoor
477,5.197,483,2660,idle,Backdoor
615,5.189,566,2940,charging,Backdoor
580,5.189,549,2980,charging,Backdoor
973,5.177,786,4000,charging,Backdoor
533,5.193,516,3080,charging,Backdoor
542,5.185,542,2980,charging,Backdoor
713,5.169,747,3960,charging,Backdoor
770,5.169,862,3860,charging,Backdoor
668,5.177,772,3300,charging,Backdoor
623,5.177,768,4060,charging,Backdoor
700,5.177,551,2680,charging,Backdoor
562,5.189,660,4460,charging,Backdoor
505,5.197,478,2500,idle,Backdoor
612,5.189,560,2780,charging,Backdoor
667,5.181,582,3040,charging,Backdoor
630,5.185,555,2880,charging,Backdoor
676,5.189,592,3040,idle,Backdoor
702,5.185,825,4260,charging,Backdoor
486,5.201,479,2500,idle,Backdoor
922,5.189,524,2720,charging,Backdoor
868,5.169,655,3400,charging,Backdoor
721,5.189,747,3400,charging,Backdoor
516,5.197,501,2620,charging,Backdoor
503,5.189,697,3600,charging,Backdoor
563,5.189,658,3900,charging,Backdoor
548,5.197,675,2980,charging,Backdoor
553,5.185,585,3680,charging,Backdoor
490,5.197,483,2520,idle,Backdoor
627,5.189,620,3240,idle,Backdoor
665,5.193,516,2680,charging,Backdoor
591,5.189,612,3700,charging,Backdoor
787,5.185,639,3800,charging,Backdoor
510,5.197,561,2920,idle,Backdoor
632,5.185,689,3180,idle,Backdoor
701,5.177,679,3180,charging,Backdoor
622,5.189,620,3220,idle,Backdoor
663,5.185,725,4480,charging,Backdoor
549,5.193,573,3640,charging,Backdoor
631,5.189,619,3220,idle,Backdoor
475,5.197,474,2520,idle,Backdoor
681,5.181,657,3380,charging,Backdoor
598,5.189,821,2880,charging,Backdoor
552,5.193,607,3220,charging,Backdoor
551,5.197,757,3280,charging,Backdoor
1025,5.161,784,4160,charging,Backdoor
757,5.181,667,3540,charging,Backdoor
795,5.185,757,3480,charging,Backdoor
536,5.197,558,3540,charging,Backdoor
742,5.185,666,3500,charging,Backdoor
612,5.185,526,2720,charging,Backdoor
655,5.177,551,2860,charging,Backdoor
834,5.193,563,2880,charging,Backdoor
511,5.197,503,2620,charging,Backdoor
477,5.197,471,2460,idle,Backdoor
765,5.197,547,2920,charging,Backdoor
658,5.189,700,4460,charging,Backdoor
986,5.165,714,5180,charging,Backdoor
553,5.193,513,3640,charging,Backdoor
482,5.201,512,2520,idle,Backdoor
572,5.193,599,2720,idle,Backdoor
649,5.173,839,4040,charging,Backdoor
670,5.193,535,2660,charging,Backdoor
668,5.181,784,3900,charging,Backdoor
775,5.185,677,3380,charging,Backdoor
773,5.165,869,4760,charging,Backdoor
703,5.189,600,3380,charging,Backdoor
481,5.197,476,2500,idle,Backdoor
772,5.165,653,4100,charging,Backdoor
555,5.193,562,3340,charging,Backdoor
652,5.185,656,3400,charging,Backdoor
686,5.181,688,3540,idle,Backdoor
936,5.169,916,4840,charging,Backdoor
562,5.193,665,3440,idle,Backdoor
471,5.201,477,2420,idle,Backdoor
563,5.193,546,2860,idle,Backdoor
549,5.197,549,2680,charging,Backdoor
920,5.177,665,2880,charging,Backdoor
838,5.177,809,4620,charging,Backdoor
672,5.185,547,2820,charging,Backdoor
517,5.193,593,2920,charging,Backdoor
535,5.201,476,2460,idle,Backdoor
615,5.185,729,3860,charging,Backdoor
622,5.173,869,4580,charging,Backdoor
773,5.189,548,2720,charging,Backdoor
852,5.165,831,4880,charging,Backdoor
545,5.193,552,2920,charging,Backdoor
758,5.185,652,3380,charging,Backdoor
686,5.193,660,2860,charging,Backdoor
840,5.165,985,5080,charging,Backdoor
768,5.173,678,3380,charging,Backdoor
509,5.201,485,2660,idle,Backdoor
482,5.201,480,2500,idle,Backdoor
480,5.197,479,2500,idle,Backdoor
715,5.185,552,2860,charging,Backdoor
710,5.185,792,4160,idle,Backdoor
544,5.197,481,2940,idle,Backdoor
998,5.169,705,3600,idle,Backdoor
655,5.185,622,3220,idle,Backdoor
649,5.185,806,4000,charging,Backdoor
500,5.197,473,2460,idle,Backdoor
665,5.185,550,2780,charging,Backdoor
662,5.189,632,3400,charging,Backdoor
473,5.201,470,2420,idle,Backdoor
475,5.201,480,2500,idle,Backdoor
622,5.185,841,4300,charging,Backdoor
807,5.181,908,4680,charging,Backdoor
473,5.201,478,2500,idle,Backdoor
490,5.201,476,2460,idle,Backdoor
553,5.181,540,2820,idle,Backdoor
981,5.157,971,4680,charging,Backdoor
474,5.201,477,2500,idle,Backdoor
484,5.201,485,2520,idle,Backdoor
680,5.177,621,2860,charging,Backdoor
545,5.197,487,2520,idle,Backdoor
779,5.173,692,3580,charging,Backdoor
609,5.185,554,2880,charging,Backdoor
522,5.201,528,2980,idle,Backdoor
546,5.197,502,2920,charging,Backdoor
537,5.193,698,3940,charging,Backdoor
477,5.197,478,2500,idle,Backdoor
552,5.189,549,3500,charging,Backdoor
476,5.197,478,2500,idle,Backdoor
830,5.169,654,3400,charging,Backdoor
746,5.173,673,3220,charging,Backdoor
754,5.177,644,3020,idle,Backdoor
669,5.177,651,4520,charging,Backdoor
780,5.185,651,3500,charging,Backdoor
510,5.197,471,2460,idle,Backdoor
593,5.185,614,4300,charging,Backdoor
522,5.189,678,3440,idle,Backdoor
543,5.193,569,2760,idle,Backdoor
545,5.197,602,3120,charging,Backdoor
685,5.185,687,3580,idle,Backdoor
647,5.189,722,3740,charging,Backdoor
484,5.197,484,2520,idle,Backdoor
862,5.169,958,4920,charging,Backdoor
758,5.185,660,3900,charging,Backdoor
650,5.189,688,3580,idle,Backdoor
476,5.201,475,2460,idle,Backdoor
684,5.173,668,3440,charging,Backdoor
477,5.201,475,2500,idle,Backdoor
905,5.173,834,3700,charging,Backdoor
478,5.201,475,2460,idle,Backdoor
849,5.185,686,3380,charging,Backdoor
762,5.173,703,3220,idle,Backdoor
660,5.181,761,4780,charging,Backdoor
655,5.173,950,3680,charging,Backdoor
785,5.185,630,3280,idle,Backdoor
632,5.185,759,4300,idle,Backdoor
606,5.189,612,3180,charging,Backdoor
683,5.189,513,2720,charging,Backdoor
547,5.193,560,2720,charging,Backdoor
653,5.193,548,2860,charging,Backdoor
678,5.189,640,3480,charging,Backdoor
607,5.197,644,3220,charging,Backdoor
511,5.197,511,2660,idle,Backdoor
659,5.185,906,3960,charging,Backdoor
539,5.197,630,2940,charging,Backdoor
779,5.173,617,3220,charging,Backdoor
674,5.181,825,5020,charging,Backdoor
901,5.185,641,3500,charging,Backdoor
928,5.189,518,2680,charging,Backdoor
554,5.193,607,3960,charging,Backdoor
486,5.201,481,2500,idle,Backdoor
476,5.197,476,2500,idle,Backdoor
521,5.189,668,3440,charging,Backdoor
675,5.173,770,4040,charging,Backdoor
546,5.193,531,2760,idle,Backdoor
552,5.193,633,3480,charging,Backdoor
593,5.189,749,2860,charging,Backdoor
587,5.185,735,3580,charging,Backdoor
651,5.193,717,3900,charging,Backdoor
886,5.169,653,3340,charging,Backdoor
610,5.197,597,3280,idle,Backdoor
915,5.165,943,4880,charging,Backdoor
502,5.201,478,2500,idle,Backdoor
737,5.193,516,2680,charging,Backdoor
758,5.177,553,3500,charging,Backdoor
727,5.177,802,5180,charging,Backdoor
853,5.185,668,4200,charging,Backdoor
911,5.173,946,3400,charging,Backdoor
588,5.193,688,3860,charging,Backdoor
550,5.189,564,3400,charging,Backdoor
704,5.189,740,2860,charging,Backdoor
624,5.189,624,3240,idle,Backdoor
477,5.197,477,2500,idle,Backdoor
815,5.185,649,3380,charging,Backdoor
478,5.201,477,2500,idle,Backdoor
485,5.197,475,2460,idle,Backdoor
643,5.189,623,3240,idle,Backdoor
472,5.197,467,2460,idle,Backdoor
622,5.193,868,2860,charging,Backdoor
770,5.177,758,3600,charging,Backdoor
512,5.185,597,3440,charging,Backdoor
551,5.193,546,2980,charging,Backdoor
582,5.189,647,3020,idle,Backdoor
618,5.189,618,3220,idle,Backdoor
837,5.177,673,3500,charging,Backdoor
921,5.173,831,4520,charging,Backdoor
644,5.189,650,2780,charging,Backdoor
975,5.161,825,5240,idle,Backdoor
549,5.181,547,2680,charging,Backdoor
509,5.189,571,3740,charging,Backdoor
562,5.193,616,3220,idle,Backdoor
666,5.177,841,4260,charging,Backdoor
662,5.181,548,3020,charging,Backdoor
657,5.189,550,2680,charging,Backdoor
707,5.189,526,2780,charging,Backdoor
916,5.169,905,4680,idle,Backdoor
472,5.201,473,2500,idle,Backdoor
551,5.197,586,3080,charging,Backdoor
487,5.201,481,2500,idle,Backdoor
477,5.201,474,2500,idle,Backdoor
508,5.185,680,3400,charging,Backdoor
716,5.185,795,4300,charging,Backdoor
708,5.181,657,4260,charging,Backdoor
959,5.165,764,3840,charging,Backdoor
737,5.177,649,3380,charging,Backdoor
737,5.185,721,4400,charging,Backdoor
839,5.185,654,3380,charging,Backdoor
761,5.177,557,2780,charging,Backdoor
921,5.169,953,4760,charging,Backdoor
752,5.181,766,3640,charging,Backdoor
680,5.185,681,3040,charging,Backdoor
766,5.177,885,4480,charging,Backdoor
576,5.181,620,2860,charging,Backdoor
616,5.197,777,3300,idle,Backdoor
581,5.193,563,3600,charging,Backdoor
519,5.185,575,2980,charging,Backdoor
478,5.197,534,2780,idle,Backdoor
990,5.177,754,3440,charging,Backdoor
710,5.177,615,3400,charging,Backdoor
485,5.197,609,3340,idle,Backdoor
649,5.189,891,4160,charging,Backdoor
828,5.173,831,4260,idle,Backdoor
613,5.193,538,2880,charging,Backdoor
487,5.201,478,2460,idle,Backdoor
478,5.197,476,2460,idle,Backdoor
645,5.189,667,3580,charging,Backdoor
951,5.161,996,4940,charging,cryptojacking
935,5.165,946,4460,charging,cryptojacking
901,5.165,1075,4580,charging,cryptojacking
978,5.161,987,5120,charging,cryptojacking
993,5.161,963,4940,charging,cryptojacking
893,5.165,889,4840,charging,cryptojacking
1058,5.161,950,5040,charging,cryptojacking
951,5.169,969,5120,idle,cryptojacking
860,5.165,933,4840,charging,cryptojacking
906,5.165,889,4880,charging,cryptojacking
862,5.169,776,4480,idle,cryptojacking
987,5.157,990,4680,charging,cryptojacking
1006,5.165,939,4840,charging,cryptojacking
946,5.161,1043,5020,charging,cryptojacking
897,5.161,1028,5080,charging,cryptojacking
975,5.169,962,4980,idle,cryptojacking
899,5.173,831,4480,charging,cryptojacking
931,5.165,916,4480,charging,cryptojacking
903,5.165,921,5120,charging,cryptojacking
1081,5.157,976,5740,charging,cryptojacking
999,5.165,905,4920,charging,cryptojacking
943,5.165,956,4980,charging,cryptojacking
857,5.169,818,4120,idle,cryptojacking
902,5.161,935,4880,charging,cryptojacking
958,5.161,948,4660,charging,cryptojacking
1023,5.161,912,4940,charging,cryptojacking
983,5.161,963,4840,charging,cryptojacking
844,5.157,946,5140,charging,cryptojacking
940,5.169,946,4840,idle,cryptojacking
985,5.157,956,4780,charging,cryptojacking
888,5.161,929,4780,charging,cryptojacking
957,5.165,912,4620,charging,cryptojacking
945,5.161,1062,4880,charging,cryptojacking
1009,5.165,982,4940,charging,cryptojacking
931,5.165,953,4780,charging,cryptojacking
1019,5.165,963,4980,charging,cryptojacking
863,5.169,839,4200,idle,cryptojacking
840,5.169,907,4580,idle,cryptojacking
973,5.161,1083,5340,charging,cryptojacking
932,5.165,995,4840,charging,cryptojacking
995,5.165,874,4720,charging,cryptojacking
968,5.165,956,4660,charging,cryptojacking
1013,5.161,904,4580,charging,cryptojacking
954,5.165,926,4660,charging,cryptojacking
984,5.161,1043,5380,charging,cryptojacking
1070,5.169,864,4840,charging,cryptojacking
928,5.165,865,4620,charging,cryptojacking
999,5.157,980,5240,charging,cryptojacking
969,5.165,866,4720,charging,cryptojacking
866,5.169,1071,4820,idle,cryptojacking
963,5.165,917,4720,charging,cryptojacking
959,5.165,890,4580,charging,cryptojacking
889,5.169,923,4560,charging,cryptojacking
901,5.161,919,5300,charging,cryptojacking
986,5.157,1043,5380,charging,cryptojacking
1063,5.161,933,5220,charging,cryptojacking
922,5.165,969,4680,charging,cryptojacking
957,5.161,963,4980,charging,cryptojacking
1015,5.161,1028,4940,idle,cryptojacking
1023,5.161,900,4660,charging,cryptojacking
896,5.169,941,4820,charging,cryptojacking
950,5.165,899,4940,charging,cryptojacking
942,5.169,925,4360,charging,cryptojacking
857,5.169,938,4820,idle,cryptojacking
875,5.165,912,5020,charging,cryptojacking
1017,5.161,1017,5220,idle,cryptojacking
788,5.173,865,4420,idle,cryptojacking
913,5.165,892,4580,charging,cryptojacking
901,5.161,952,4760,charging,cryptojacking
902,5.169,859,4520,charging,cryptojacking
919,5.157,923,4920,charging,cryptojacking
949,5.161,1010,5220,charging,cryptojacking
977,5.165,1029,4980,idle,cryptojacking
955,5.165,941,4920,charging,cryptojacking
922,5.161,971,5440,charging,cryptojacking
1018,5.161,1020,5180,idle,cryptojacking
976,5.161,1009,4940,idle,cryptojacking
895,5.165,1000,4840,charging,cryptojacking
1004,5.169,925,4880,charging,cryptojacking
970,5.165,935,4660,charging,cryptojacking
910,5.169,910,4620,idle,cryptojacking
1026,5.161,1060,5700,charging,cryptojacking
930,5.165,866,4580,charging,cryptojacking
928,5.169,930,4920,charging,cryptojacking
937,5.161,960,4940,charging,cryptojacking
1006,5.165,904,4660,charging,cryptojacking
919,5.169,928,4820,charging,cryptojacking
1015,5.157,983,4920,charging,cryptojacking
1000,5.161,950,4920,idle,cryptojacking
900,5.165,884,4620,idle,cryptojacking
985,5.165,982,5080,charging,cryptojacking
935,5.165,998,5140,charging,cryptojacking
861,5.169,843,4060,idle,cryptojacking
1016,5.165,1019,5300,charging,cryptojacking
959,5.161,1012,5220,idle,cryptojacking
998,5.161,874,5020,charging,cryptojacking
928,5.165,869,4660,charging,cryptojacking
950,5.161,938,4840,charging,cryptojacking
920,5.165,1077,5120,charging,cryptojacking
999,5.161,960,4880,charging,cryptojacking
886,5.169,936,4980,charging,cryptojacking
978,5.165,887,4720,charging,cryptojacking
915,5.165,922,4560,charging,cryptojacking
941,5.165,996,4720,charging,cryptojacking
948,5.165,1061,5140,charging,cryptojacking
997,5.161,1036,5240,charging,cryptojacking
982,5.165,959,5340,idle,cryptojacking
954,5.161,944,4620,charging,cryptojacking
912,5.161,877,4680,charging,cryptojacking
917,5.161,973,5020,charging,cryptojacking
1024,5.169,904,5120,charging,cryptojacking
937,5.165,896,4840,charging,cryptojacking
970,5.161,981,4840,charging,cryptojacking
970,5.165,966,5020,charging,cryptojacking
994,5.161,1006,4840,charging,cryptojacking
1010,5.161,960,5240,idle,cryptojacking
872,5.165,895,4660,charging,cryptojacking
930,5.165,878,4820,charging,cryptojacking
980,5.157,1021,5220,idle,cryptojacking
963,5.161,967,5080,charging,cryptojacking
1004,5.165,918,5120,charging,cryptojacking
1017,5.161,983,5440,idle,cryptojacking
868,5.173,787,4480,idle,cryptojacking
835,5.169,849,4820,charging,cryptojacking
952,5.165,970,4720,charging,cryptojacking
910,5.161,887,4400,idle,cryptojacking
968,5.161,1060,5080,charging,cryptojacking
871,5.173,926,4920,charging,cryptojacking
1019,5.161,1024,5240,idle,cryptojacking
884,5.165,968,4940,idle,cryptojacking
958,5.165,897,5240,charging,cryptojacking
1011,5.165,899,5080,idle,cryptojacking
937,5.169,1002,4780,idle,cryptojacking
901,5.169,865,4460,charging,cryptojacking
979,5.165,957,4920,idle,cryptojacking
840,5.169,902,4680,idle,cryptojacking
1055,5.161,1005,5180,charging,cryptojacking
957,5.165,893,4760,charging,cryptojacking
1015,5.157,950,4920,charging,cryptojacking
922,5.165,946,4980,idle,cryptojacking
846,5.169,933,4580,charging,cryptojacking
1050,5.165,985,5080,idle,cryptojacking
1019,5.165,933,4920,charging,cryptojacking
926,5.165,962,4980,charging,cryptojacking
906,5.169,939,4840,charging,cryptojacking
1004,5.157,1001,5280,charging,cryptojacking
955,5.165,1010,4780,charging,cryptojacking
980,5.161,917,5020,charging,cryptojacking
909,5.165,921,4780,charging,cryptojacking
821,5.165,858,4420,idle,cryptojacking
937,5.165,990,4760,charging,cryptojacking
936,5.169,910,4620,idle,cryptojacking
964,5.157,981,5140,idle,cryptojacking
952,5.165,972,5180,idle,cryptojacking
1017,5.161,926,4840,charging,cryptojacking
825,5.169,916,4520,charging,cryptojacking
926,5.161,894,4520,charging,cryptojacking
952,5.165,929,5080,charging,cryptojacking
944,5.169,879,4520,charging,cryptojacking
839,5.173,869,4560,idle,cryptojacking
910,5.165,880,4560,charging,cryptojacking
914,5.165,946,4920,charging,cryptojacking
937,5.161,972,5220,charging,cryptojacking
931,5.169,933,4560,charging,cryptojacking
916,5.169,938,4660,charging,cryptojacking
1002,5.165,1022,4840,idle,cryptojacking
866,5.169,941,4840,charging,cryptojacking
951,5.157,928,5180,charging,cryptojacking
924,5.165,886,4580,charging,cryptojacking
909,5.173,844,4360,idle,cryptojacking
926,5.165,913,4780,charging,cryptojacking
969,5.169,912,4780,charging,cryptojacking
973,5.157,931,4820,charging,cryptojacking
949,5.165,1009,4920,charging,cryptojacking
1002,5.169,978,5040,idle,cryptojacking
951,5.165,887,4780,charging,cryptojacking
943,5.165,894,4520,idle,cryptojacking
1034,5.165,921,4720,charging,cryptojacking
886,5.161,980,4980,idle,cryptojacking
861,5.169,846,4260,idle,cryptojacking
979,5.165,1016,4940,charging,cryptojacking
953,5.165,990,4560,charging,cryptojacking
943,5.165,1029,5300,charging,cryptojacking
897,5.165,874,4840,charging,cryptojacking
